actuated_joint_pos	actuated_joint_vel	actuated_joint_torque	unactuated_joint_pos	unactuated_joint_vel	unactuated_joint_torque
0.205118	2.02	10	0.408206	4.0212	20
0.207148	2.02995	9.95025	0.412267	4.0612	20
0.209188	2.03985	9.90099	0.416327	4.06	20
0.211237	2.0497	9.85246	0.420427	4.1	20
0.213297	2.05989	9.80464	0.424537	4.1106	20
0.215366	2.06927	9.75751	0.428658	4.1212	20
0.217445	2.07898	9.70927	0.43282	4.1612	20
0.219534	2.08864	9.66526	0.43698	4.16	20
0.221632	2.09826	9.62012	0.44118	4.2	20
0.22374	2.10784	9.57561	0.44539	4.2106	20
0.225858	2.11737	9.53171	0.449611	4.2212	20
0.227984	2.12686	9.4884	0.453873	4.2612	20
0.230121	2.1363	9.44569	0.458133	4.26	20
0.232266	2.14571	9.40355	0.462433	4.3	20
0.234422	2.15537	9.36197	0.466743	4.3106	20
0.236586	2.16439	9.32094	0.471064	4.3212	20
0.23876	2.17367	9.27917	0.475426	4.3612	20
0.240943	2.18291	9.24049	0.479786	4.36	20
0.243135	2.19211	9.20104	0.484186	4.4	20
0.245336	2.20127	9.16209	0.488596	4.4106	20
0.247546	2.21039	9.12363	0.493017	4.4212	20
0.249766	2.21948	9.08566	0.497479	4.4612	20
0.251995	2.22853	9.04816	0.501939	4.46	20
0.254232	2.23754	9.01112	0.506439	4.5	20
0.256479	2.24674	8.97453	0.510949	4.5106	20
0.258734	2.25545	8.93839	0.51547	4.5212	20
0.260999	2.26435	8.90178	0.520032	4.5612	20
0.263272	2.27322	8.8674	0.524592	4.56	20
0.265554	2.28205	8.83254	0.529192	4.6	20
0.267845	2.29085	8.79809	0.533802	4.6106	20
0.270144	2.29962	8.76403	0.538423	4.6212	20
0.272453	2.30835	8.73037	0.543084	4.6612	20
0.27477	2.31704	8.6971	0.547744	4.66	20
0.277095	2.32571	8.66421	0.552444	4.7	20
0.27943	2.3345	8.63169	0.557155	4.7106	20
0.281773	2.34294	8.59953	0.561876	4.7212	20
0.284124	2.35151	8.56713	0.566637	4.7612	20
0.286484	2.36004	8.53629	0.571397	4.76	20
0.288853	2.36855	8.50519	0.576197	4.8	20
0.29123	2.37702	8.47442	0.581008	4.8106	20
